,売上高10%増フラグ,売上高成長率t+1,売上高t+1,売上高t,売上高t-1,売上高t-2,売上高成長率t,売上高成長率t-1,資産t,負債t,純資産t,営業利益t,当期純利益t,営業CFt,投資CFt,財務CFt,ROSt,ROAt,ROEt,ATt,LEVt,営業CF比率t,投資CF比率t,財務CF比率t,FCFt
オプティム,1,1.116365824,9277,8310,7517,6728,1.105494213,1.117271106,7387,2138,5248,1534,943,698,-1666,493,0.184596871,0.127656694,0.1796875,1.124949235,0.289427372,0.083995187,-0.200481348,0.059326113,-968
特種東海製紙,0,1.042361016,84130,80711,76403,80603,1.05638522,0.947892758,125430,46867,78562,4231,5251,9579,-4701,-6422,0.052421603,0.041863988,0.06683893,0.643474448,0.373650642,0.118682707,-0.058244849,-0.079567841,4878
ティーガイア,0,0.952021559,453604,476464,422973,474150,1.126464337,0.892065802,241277,170794,70483,10567,10579,18864,-2484,-7931,0.022177961,0.04384587,0.15009293,1.974759302,0.707875181,0.039591659,-0.005213405,-0.016645539,16380
セック,1,1.141463415,7488,6560,6525,6343,1.005363985,1.028693047,8425,1334,7090,1062,780,642,28,-290,0.161890244,0.092581602,0.110014104,0.778635015,0.158338279,0.097865854,0.004268293,-0.044207317,670
テクマトリックス,1,1.258455892,45950,36513,30928,27599,1.180580704,1.120620312,52503,32301,20202,3734,2371,5283,195,-1959,0.102264947,0.045159324,0.117364617,0.695445975,0.615221987,0.144688193,0.005340564,-0.053652124,5478
プロシップ,0,0.986694573,6600,6689,5351,5052,1.25004672,1.059184481,13532,2196,11336,2205,1591,2337,-94,-396,0.329645687,0.11757316,0.14034933,0.494309784,0.162281998,0.349379578,-0.014052923,-0.059201674,2243
システムリサーチ,1,1.171203477,21556,18405,16158,16250,1.139064241,0.994338462,12884,4750,8134,2078,1492,1287,-254,-526,0.112904102,0.115802546,0.183427588,1.428515989,0.368674325,0.06992665,-0.013800598,-0.02857919,1033
インターネットイニシアティブ,1,1.11652197,252708,226335,213001,204473,1.062600645,1.041707218,231805,127184,104620,23547,15672,43572,-11838,-27295,0.104036053,0.06760855,0.149799274,0.97640258,0.548668062,0.192511101,-0.052303002,-0.120595577,31734
さくらインターネット,0,1.030121385,20622,20019,22168,21908,0.903058463,1.011867811,28396,19946,8449,763,275,3957,-1674,-1005,0.038113792,0.009684463,0.032548231,0.704993661,0.702422876,0.197662221,-0.08362056,-0.050202308,2283
ＳＲＡホールディングス,0,1.06618909,42864,40203,39386,43642,1.020743411,0.902479263,40175,14813,25362,5440,3577,2826,-460,-1495,0.135313285,0.08903547,0.141037773,1.000696951,0.368711886,0.070293262,-0.011441932,-0.03718628,2366
朝日ネット,0,1.051222251,12170,11577,11351,10265,1.01991014,1.105796396,12940,1659,11281,1834,1255,1428,-1116,-558,0.158417552,0.09698609,0.111249003,0.894667697,0.12820711,0.123348018,-0.096398031,-0.048199015,312
ｅＢＡＳＥ,0,1.083180147,4714,4352,4302,4441,1.011622501,0.968700743,6306,460,5845,1081,744,763,-53,-259,0.248391544,0.117982873,0.127288281,0.690136378,0.0729464,0.175321691,-0.012178309,-0.059512868,710
アドソル日進,0,1.048583327,12842,12247,13518,13315,0.905977216,1.015245963,8069,2101,5968,1088,784,1781,-241,-410,0.088838083,0.097161978,0.131367292,1.517784112,0.260379229,0.145423369,-0.019678289,-0.033477586,1540
コムチュア,1,1.162937763,29056,24985,20868,20932,1.197287713,0.99694248,18934,5113,13820,3996,2517,4420,31,-1437,0.159935962,0.13293546,0.182127352,1.319583817,0.270043308,0.176906144,0.001240744,-0.057514509,4451
アステリア,1,1.138523761,3378,2967,2688,2676,1.103794643,1.004484305,12594,3613,8981,3445,2510,58,-498,-224,1.161105494,0.199301255,0.2794789,0.235588375,0.286882643,0.019548365,-0.167846309,-0.075497135,-440
王子ホールディングス,1,1.160853131,1706641,1470161,1358985,1507607,1.081808114,0.901418606,2053752,1178282,875470,120119,87509,143587,-92567,-136002,0.081704657,0.042609332,0.099956595,0.715841543,0.573721657,0.097667534,-0.062963852,-0.092508235,51020
日本製紙,1,1.102918803,1152645,1045086,1007339,1043912,1.037471993,0.964965438,1639286,1200682,438604,12090,1990,72378,-61247,54314,0.011568426,0.001213943,0.004537122,0.637525118,0.732442051,0.069255545,-0.058604746,0.051970843,11131
三菱製紙,1,1.151835972,209542,181920,162325,194575,1.120714616,0.834254144,215879,146265,69613,-248,1096,1698,-2557,-6091,-0.001363237,0.005076918,0.015744186,0.842694287,0.677532321,0.009333773,-0.014055629,-0.03348175,-859
北越コーポレーション,1,1.15132102,301204,261616,222454,264618,1.176045385,0.840660877,376956,159981,216974,20455,21206,20186,-1648,-19187,0.078187114,0.056255903,0.097735213,0.694022645,0.424402318,0.077158889,-0.006299309,-0.073340316,18538
中越パルプ工業,1,1.17273373,105668,90104,81938,95140,1.099660719,0.861236073,122029,73408,48620,2352,1268,8257,-3150,-5894,0.02610317,0.010390973,0.026079803,0.73838186,0.601561924,0.091638551,-0.034959602,-0.0654133,5107
大王製紙,0,1.055362118,646213,612314,562928,546433,1.08773058,1.030186683,840441,573736,266704,37569,23721,71395,-62420,-50609,0.061355775,0.028224468,0.088941298,0.728562743,0.682660651,0.116598673,-0.101941161,-0.082652038,8975
ラクス,1,1.328178777,27399,20629,15387,11608,1.340677195,1.325551344,11700,3083,8617,1578,1078,-11,-877,-295,0.076494256,0.092136752,0.125101543,1.763162393,0.263504274,-0.00053323,-0.042512967,-0.014300257,-888
ランドコンピュータ,1,1.206544393,11578,9596,8877,9094,1.080995832,0.976138113,6500,2133,4366,872,627,793,-106,-170,0.090871196,0.096461538,0.143609711,1.476307692,0.328153846,0.082638599,-0.011046269,-0.017715715,687
ダブルスタンダード,0,0.976543733,6911,7077,4411,3667,1.604398096,1.202890646,4455,922,3533,1757,1082,1146,-265,-374,0.248269041,0.242873176,0.306255307,1.588552189,0.206958474,0.161933022,-0.037445245,-0.052847252,881
オープンドア,1,1.711074105,2055,1201,1122,4936,1.070409982,0.227309562,5368,280,5087,-653,-544,117,-17,0,-0.543713572,-0.101341282,-0.106939257,0.223733234,0.052160954,0.097418818,-0.014154871,0,100
アカツキ,0,0.926274122,24336,26273,31096,32048,0.844899666,0.970294558,46079,7842,38236,7448,5193,4793,-3008,-4187,0.283484947,0.112697758,0.135814416,0.570172964,0.170185985,0.182430632,-0.114490161,-0.159365128,1785
Ｕｂｉｃｏｍホールディングス,1,1.110029623,5246,4726,4198,4038,1.125774178,1.039623576,5624,1811,3812,1033,832,874,-202,-151,0.218578079,0.147937411,0.218258132,0.840327169,0.322012802,0.184934405,-0.042742277,-0.03195091,672
レンゴー,1,1.132749429,846080,746926,680714,683780,1.097268456,0.995516102,934345,580056,354289,33279,28188,57893,-54680,1860,0.044554615,0.030168728,0.079562165,0.799411352,0.620815652,0.077508348,-0.073206717,0.002490207,3213
トーモク,0,1.033057129,212817,206007,175647,176583,1.172846675,0.994699376,190018,113891,76126,8331,5980,16701,-18216,4117,0.040440373,0.031470703,0.078553976,1.08414466,0.599369533,0.081070061,-0.08842418,0.019984758,-1515
住友化学,0,1.046997076,2895283,2765321,2286978,2225804,1.209159423,1.027484001,4308151,2606174,1701977,215003,162130,171715,-115421,-81394,0.077749744,0.037633314,0.095259807,0.641881169,0.604940263,0.062095865,-0.041738735,-0.029433834,56294
住友精化,1,1.237560887,143041,115583,103254,99701,1.119404575,1.035636553,121274,39369,81905,8072,5895,9017,-4321,-2986,0.06983726,0.048608935,0.071973628,0.953073206,0.324628527,0.078013203,-0.03738439,-0.025834249,4696
日産化学,0,1.096613967,228065,207972,209121,206837,0.994505573,1.011042512,279687,71678,208009,50959,38776,41949,-12395,-27868,0.245028177,0.138640695,0.186415011,0.743588368,0.256279341,0.201705037,-0.059599369,-0.133998808,29554
ラサ工業,1,1.400694699,49600,35411,28978,29759,1.221995997,0.973755839,41924,21622,20301,3475,2538,1996,-2322,308,0.098133348,0.060538117,0.125018472,0.844647457,0.515742773,0.056366666,-0.065572845,0.008697862,-326
クレハ,1,1.13624726,191277,168341,144575,142398,1.164385267,1.015288136,282639,81914,200724,20142,14164,28581,-10999,-6105,0.119649996,0.050113396,0.070564556,0.595604287,0.289818461,0.169780386,-0.065337618,-0.036265675,17582
テイカ,1,1.181420129,54773,46362,38402,45435,1.207280871,0.845207439,72128,20865,51263,3651,2845,4841,-2807,-2363,0.078749838,0.039443767,0.055498118,0.642773957,0.289277396,0.104417411,-0.060545274,-0.050968466,2034
石原産業,1,1.182803839,131238,110955,101774,101066,1.09020968,1.007005323,185758,93889,91869,11557,11690,16501,-4319,-11601,0.104159344,0.062931341,0.127246405,0.597309403,0.505437182,0.148717949,-0.038925691,-0.104555901,12182
日本曹達,1,1.132919442,172811,152536,139363,144739,1.094522937,0.962857281,245585,87287,158298,11930,12683,14545,-11620,-4802,0.078211045,0.051644034,0.080121038,0.621112853,0.355424802,0.095354539,-0.076178738,-0.031481093,2925
東ソー,1,1.158718892,1064376,918580,732850,786083,1.253435219,0.932280688,1087667,327943,759724,144045,107938,108615,-43525,-57852,0.156812689,0.099238094,0.14207528,0.844541574,0.301510481,0.118242287,-0.047382917,-0.062979817,65090
トクヤマ,1,1.197256917,351790,293830,302407,316096,0.971637561,0.956693536,433210,200292,232917,24539,28000,25986,-33797,5118,0.083514277,0.06463378,0.120214497,0.678262275,0.462343898,0.088438893,-0.115022292,0.017418235,-7811
セントラル硝子,0,0.821154891,169309,206184,190673,222469,1.081348696,0.857076716,290696,160632,130063,7262,-39844,14872,-1839,-12744,0.035220968,-0.137064149,-0.306343849,0.709277045,0.552577263,0.072129748,-0.008919218,-0.06180887,13033
大阪ソーダ,1,1.183052541,104208,88084,97266,105477,0.905599079,0.922153645,129159,45263,83896,12401,9442,13378,-6961,-1646,0.140786068,0.073103694,0.112544102,0.681981124,0.350444026,0.151877753,-0.079026838,-0.018686708,6417
関東電化工業,1,1.26312494,78675,62286,51927,53679,1.199491594,0.967361538,109902,49993,59908,11164,7762,11176,-11120,2416,0.17923771,0.070626558,0.129565334,0.566741279,0.454887081,0.17943037,-0.178531291,0.038788813,56
デンカ,0,1.059010157,407559,384849,354391,380803,1.08594462,0.930641303,557646,265552,292094,40123,26012,42630,-36839,-12341,0.104256475,0.04664608,0.089053524,0.690131374,0.476201748,0.110770718,-0.095723258,-0.032067122,5791
イビデン,0,1.040911108,417549,401138,323461,295999,1.240143325,1.09277734,664332,293603,370728,70821,41232,108372,-67722,13935,0.176550215,0.062065353,0.111219007,0.603821583,0.441952217,0.270161391,-0.168824694,0.034738668,40650
信越化学工業,1,1.354023374,2808824,2074428,1496906,1543525,1.385810465,0.969797055,4053412,624204,3429208,676322,500117,553528,-253723,-122504,0.326028187,0.123381734,0.145840381,0.511773291,0.153994709,0.266834038,-0.122309861,-0.059054351,299805
日本カーバイド工業,0,0.936280663,44008,47003,42231,46699,1.112997561,0.904323433,64546,32496,32049,3192,1930,4297,-2360,-4210,0.067910559,0.029901156,0.060220288,0.728209339,0.5034549,0.091419697,-0.050209561,-0.089568751,1937
堺化学工業,0,1.046496537,83861,80135,84918,87177,0.943675075,0.974087202,123919,41211,82708,7494,6747,6567,-1654,-5654,0.09351719,0.054446856,0.081576147,0.646672423,0.332564014,0.081949211,-0.02064017,-0.070555937,4913
第一稀元素化学工業,1,1.217367615,35748,29365,23465,26518,1.251438312,0.884870654,58043,26227,31816,3768,1849,3231,-4219,-8,0.128316022,0.031855693,0.058115414,0.505918026,0.451854659,0.110028946,-0.143674442,-0.000272433,-988
エア・ウォーター,1,1.130809256,1004914,888668,806630,809083,1.101704623,0.996968173,1022031,602174,419857,65174,43214,71572,-53154,-6622,0.073338975,0.042282475,0.10292552,0.869511786,0.589193478,0.080538514,-0.059813114,-0.007451602,18418
日本酸素ホールディングス,1,1.239784197,1186683,957169,818238,850239,1.169792896,0.962362348,1977026,1315888,661137,101183,64103,148760,-70858,-77946,0.105710695,0.032423954,0.096958724,0.484145884,0.665589628,0.155416651,-0.074028724,-0.081433895,77902
日本化学工業,0,1.021462106,38075,37275,34642,36243,1.076006004,0.955825953,70431,28563,41867,3921,3735,1975,-3082,120,0.105191147,0.053030626,0.089211073,0.529241385,0.405545853,0.052984574,-0.082682763,0.003219316,-1107
東邦アセチレン,0,1.089563689,34087,31285,29826,33561,1.048917052,0.88871011,30271,12710,17561,1228,823,1781,-684,-630,0.039252038,0.027187737,0.046865213,1.033497407,0.419873807,0.05692824,-0.021863513,-0.020137446,1097
日本パーカライジング,0,1.012101705,119177,117752,99918,119028,1.178486359,0.839449541,228982,41309,187673,13370,9046,14281,-6655,-4105,0.113543719,0.039505289,0.04820086,0.514241294,0.180402826,0.121280318,-0.056517087,-0.034861404,7626
高圧ガス工業,1,1.108943661,91469,82483,76907,83943,1.072503153,0.916181218,98400,32498,65901,4720,4149,5795,-3818,583,0.057223913,0.042164634,0.062958073,0.83824187,0.330264228,0.070256901,-0.046288326,0.007068123,1977
ステラ　ケミファ,0,0.948680824,35382,37296,32893,33729,1.133858268,0.975214207,56598,13869,42728,4583,5364,5403,-5674,94,0.12288181,0.094773667,0.125538289,0.658963214,0.245043994,0.144868082,-0.152134277,0.002520378,-271
保土谷化学工業,0,1.034504167,43324,41879,41199,37771,1.016505255,1.090757459,66448,18535,47912,6421,3251,6143,-3569,-1848,0.153322668,0.048925476,0.067853565,0.630252227,0.278939923,0.146684496,-0.08522171,-0.044127128,2574
日本触媒,1,1.136138513,419568,369293,273163,302150,1.351914425,0.904064207,518151,167028,351123,29062,23720,35058,-23158,-10751,0.07869632,0.045778161,0.067554675,0.712713089,0.322353908,0.09493275,-0.062709014,-0.029112385,11900
大日精化工業,0,1.000590488,122005,121933,138491,155108,0.880439884,0.892868195,196709,86222,110487,7446,6166,7579,-6643,-11424,0.061066323,0.031345795,0.055807471,0.619864877,0.438322598,0.062157086,-0.054480739,-0.093690797,936
カネカ,0,1.092969213,755821,691530,577426,601514,1.197608005,0.959954382,726959,314755,412204,43562,26487,34106,-39595,-1105,0.062993652,0.036435342,0.064257018,0.951264102,0.4329749,0.049319625,-0.057257097,-0.001597906,-5489
三菱瓦斯化学,1,1.107070584,781211,705656,595718,613344,1.184547051,0.971262456,928651,297763,630887,55360,48295,52090,-64954,-3666,0.078451824,0.052005544,0.076550951,0.759872116,0.32064037,0.073817838,-0.092047683,-0.005195166,-12864
三井化学,1,1.165474661,1879547,1612688,1211725,1349522,1.330902639,0.897891994,1934965,1127843,807122,147310,109990,92584,-205234,89222,0.091344389,0.056843405,0.136274318,0.833445566,0.582875142,0.057409741,-0.127262062,0.055325023,-112650
ＪＳＲ,1,1.199072133,408880,340997,312000,471967,1.092939103,0.661063168,809371,394631,414739,43760,37303,18271,-63117,22994,0.128329575,0.046088876,0.089943314,0.421311117,0.48757739,0.053581117,-0.18509547,0.067431678,-44846
三菱ケミカルグループ,1,1.165348906,4634532,3976948,3257535,3580510,1.220845824,0.90979637,5573871,3729552,1844319,303194,177162,346871,-128781,-336283,0.076237859,0.031784374,0.09605822,0.713498393,0.66911344,0.087220401,-0.032381867,-0.084558058,218090
ダイセル,1,1.149782984,538026,467937,393568,412826,1.188960993,0.953350806,698836,419292,279544,50697,31254,42993,-46528,-5452,0.108341508,0.044722939,0.111803509,0.669594869,0.599986263,0.091877753,-0.099432189,-0.011651141,-3535
住友ベークライト,0,1.082948836,284939,263114,209002,206620,1.258906613,1.01152841,370836,138701,232136,24887,18299,27920,-10468,-19308,0.094586377,0.049345263,0.07882879,0.709515797,0.374022479,0.1061137,-0.039785036,-0.07338264,17452
積水化学工業,0,1.073039739,1242521,1157945,1056560,1129254,1.095957636,0.935626529,1198921,496168,702753,88879,37067,105023,2694,-54729,0.076755804,0.030916966,0.052745417,0.965822602,0.413845449,0.090697745,0.002326535,-0.047263903,107717
日本ゼオン,0,1.074320626,388614,361730,301961,321966,1.197936157,0.93786611,484660,162824,321836,44432,33413,33140,-26436,-11883,0.122831946,0.068941113,0.103819958,0.746358272,0.335955103,0.091615293,-0.073082133,-0.032850469,6704
アイカ工業,1,1.128387891,242055,214514,174628,191501,1.228405525,0.9118908,240388,77654,162734,20348,13117,11685,-8342,-1114,0.09485628,0.054565952,0.08060393,0.892365675,0.323036092,0.054471969,-0.038887905,-0.005193134,3343
ＵＢＥ,0,0.755019725,494738,655265,613889,667892,1.067399807,0.919144113,837954,443919,394035,44038,24500,32711,-43373,8371,0.067206397,0.029237882,0.062177218,0.781982066,0.529765357,0.049920261,-0.066191541,0.012774984,-10662
積水樹脂,0,0.999908957,65897,65903,64735,67727,1.01804279,0.955822641,135606,27218,108387,10883,7662,8792,-2322,-6870,0.16513664,0.056501925,0.070691135,0.485988821,0.200713833,0.133408191,-0.035233601,-0.104244116,6470
タキロンシーアイ,0,1.02669513,145725,141936,134470,139432,1.055521678,0.96441276,147061,55005,92055,8651,6660,11942,-7516,-3166,0.060950006,0.04528733,0.072348053,0.965150516,0.374028464,0.084136512,-0.052953444,-0.022305828,4426
旭有機材,1,1.191049249,77099,64732,53551,56581,1.208791619,0.946448454,74925,23058,51867,6575,4773,7175,-1655,-2064,0.101572638,0.063703704,0.09202383,0.863957291,0.307747748,0.110841624,-0.025566953,-0.031885312,5520
ニチバン,0,1.056243335,45560,43134,41528,44063,1.038672703,0.942468738,64427,25465,38961,2450,1809,4064,-2898,-691,0.05679974,0.02807829,0.046431046,0.669501917,0.395253543,0.094218018,-0.067185979,-0.016019845,1166
リケンテクノス,1,1.123486441,123497,109923,88224,98808,1.245953482,0.892883167,102641,37192,65448,6292,3941,4572,-2438,-2946,0.057240068,0.038395963,0.060215744,1.070946308,0.362350328,0.041592751,-0.022179162,-0.026800579,2134
積水化成品工業,0,1.060527189,124683,117567,118851,136155,0.989196557,0.872909552,143308,85065,58242,1463,-5917,3831,-3186,-2573,0.012443968,-0.041288693,-0.101593352,0.820379881,0.593581656,0.032585675,-0.027099441,-0.021885393,645
群栄化学工業,0,1.067469224,31390,29406,25194,26983,1.167182663,0.933698996,54680,9780,44899,2489,1929,2447,-942,-746,0.08464259,0.035277981,0.042963095,0.537783467,0.178858815,0.08321431,-0.032034279,-0.025368972,1505
ダイキョーニシカワ,1,1.249209302,145744,116669,150234,182219,0.776581866,0.824469457,156162,79243,76918,-2632,-2085,3705,-20107,3579,-0.022559549,-0.01335152,-0.027106789,0.747102368,0.507440991,0.031756508,-0.172342267,0.030676529,-16402
森六ホールディングス,1,1.102272551,142019,128842,155460,170773,0.828779107,0.910331258,137125,65057,72067,2846,4259,3434,-1140,-2824,0.02208907,0.031059253,0.059097784,0.93959526,0.474435734,0.0266528,-0.008848046,-0.021918319,2294
日本化薬,0,1.073455805,198380,184805,173381,175123,1.065889573,0.990052706,315459,69034,246425,21050,17181,23141,-10641,-11090,0.113903845,0.054463496,0.06972101,0.585828903,0.218836679,0.125218474,-0.057579611,-0.060009199,12500
カーリットホールディングス,0,1.062370921,36008,33894,45537,49745,0.744317807,0.915408584,50078,19174,30903,2506,2336,3063,-984,-3981,0.07393639,0.04664723,0.075591367,0.676824154,0.382882703,0.090369977,-0.029031687,-0.117454417,2079
プレステージ・インターナショナ,1,1.167251412,54562,46744,40617,42377,1.150848167,0.958468037,54028,17462,36566,6842,4357,6610,-4345,-763,0.146371727,0.08064337,0.119154406,0.865181017,0.323202784,0.141408523,-0.092953106,-0.016322951,2265
プロトコーポレーション,1,1.838178463,105596,57446,55787,59127,1.029738111,0.943511425,54525,14128,40397,6422,5880,4533,1458,-1547,0.111791944,0.10784044,0.145555363,1.053571756,0.2591105,0.078908888,0.025380357,-0.026929638,5991
アミューズ,1,1.354971092,52497,38744,39839,58806,0.97251437,0.677464885,49313,11551,37761,2879,1564,1654,-1280,-657,0.07430828,0.031715775,0.041418395,0.785675177,0.234238436,0.042690481,-0.033037374,-0.016957464,374
野村総合研究所,1,1.131665342,692165,611634,550337,528721,1.111380845,1.040883566,789655,447168,342486,106218,71445,98137,-130547,-7995,0.173662681,0.090476221,0.208607067,0.77455851,0.566282744,0.160450531,-0.213439737,-0.013071543,-32410
ドリームインキュベータ,0,0.847213631,30132,35566,27776,22755,1.280457949,1.220654801,33574,21119,12454,-168,7,7822,317,955,-0.004723612,0.000208495,0.000562068,1.059331626,0.629028415,0.219929146,0.008913007,0.026851487,8139
クイック,1,1.178211106,27794,23590,19360,21035,1.218491736,0.920370811,18002,5904,12098,3345,2248,3844,-476,-1048,0.141797372,0.124875014,0.185815837,1.310409954,0.32796356,0.162950403,-0.020178042,-0.044425604,3368
日本システム技術,0,1.09907005,23519,21399,18789,18019,1.138911065,1.042732671,15539,6345,9194,2000,1330,1162,-80,486,0.093462311,0.085591093,0.144659561,1.377115645,0.408327434,0.054301603,-0.003738492,0.022711342,1082
テイクアンドギヴ・ニーズ,1,1.153234385,45532,39482,20044,63678,1.969766514,0.314771193,54032,42188,11843,2089,1877,6652,-401,1014,0.052910187,0.034738673,0.158490247,0.730715132,0.780796565,0.16848184,-0.010156527,0.02568259,6251
東邦システムサイエンス,0,1.086904511,15446,14211,12189,11686,1.165887275,1.043042957,12131,4008,8122,1327,942,942,-39,-482,0.093378369,0.077652296,0.115981285,1.171461545,0.330393207,0.066286679,-0.002744353,-0.033917388,903
ぴあ,1,1.268457935,32763,25829,67355,163204,0.383475614,0.412704345,64598,61791,2807,-833,-1122,13058,-2701,-1132,-0.032250571,-0.017368959,-0.399714998,0.3998421,0.956546642,0.505555771,-0.10457238,-0.043826706,10357
ソースネクスト,0,1.003880858,10347,10307,12851,17282,0.802038752,0.743606064,19981,10022,9959,-2259,-3502,-330,-2938,3820,-0.219171437,-0.175266503,-0.351641731,0.515840048,0.501576498,-0.032017076,-0.285048996,0.370621907,-3268
シーティーエス,0,1.024188958,10797,10542,9968,9172,1.05758427,1.08678587,14361,4617,9743,2628,1731,2905,-2262,-1686,0.24928856,0.120534782,0.177666017,0.734071443,0.321495718,0.275564409,-0.21457029,-0.159931702,643
インフォコム,0,1.089121481,70342,64586,68055,58375,0.949026523,1.165824411,57531,12951,44579,10098,6912,7148,-3225,-2217,0.156349673,0.120143922,0.155050584,1.122629539,0.225113417,0.11067414,-0.049933422,-0.034326325,3923
日本精化,1,1.101351351,36838,33448,30509,29047,1.09633223,1.05033222,54807,10247,44560,4881,3472,2285,-2741,-1399,0.145928008,0.063349572,0.077917415,0.610287007,0.186965169,0.068314996,-0.081948099,-0.041826118,-456
扶桑化学工業,1,1.227743902,68459,55760,42209,41310,1.321045275,1.021762285,92009,16706,75303,15034,10890,10199,-9375,-2882,0.269619799,0.118357987,0.144615752,0.606027671,0.181569194,0.182908895,-0.168131277,-0.051685796,824
シンプレクス・ホールディングス,1,1.142810425,34946,30579,27532,25508,1.110671219,1.079347656,66934,29640,37294,6362,4204,7561,-328,-1346,0.208051277,0.062808139,0.112725908,0.456853019,0.442824275,0.247261192,-0.010726315,-0.044017136,7233
アイ・ピー・エス,1,1.150820283,12346,10728,9515,6508,1.127482922,1.462046712,18420,9283,9136,2456,1888,3580,-2658,1067,0.228933632,0.102497286,0.206654991,0.582410423,0.503963084,0.333706189,-0.247762864,0.099459359,922
ＡＤＥＫＡ,1,1.116569869,403343,361234,327080,304131,1.104420937,1.075457615,475304,178433,296871,34032,23687,21072,-11330,-11804,0.094210401,0.049835474,0.079788865,0.760006228,0.37540816,0.058333379,-0.031364711,-0.03267688,9742
日油,1,1.130122196,217709,192642,172645,180917,1.115827276,0.954277376,289630,67924,221706,35595,26690,27393,-8755,-15312,0.184772791,0.092152056,0.120384654,0.665131375,0.234519905,0.142196406,-0.045446995,-0.079484225,18638
ハリマ化成グループ,1,1.242032776,94510,76093,62850,71799,1.210708035,0.875360381,78905,38800,40104,3250,1746,2833,-3438,2106,0.042710893,0.022127875,0.043536804,0.964362208,0.491730562,0.037230757,-0.045181554,0.027676659,-605
第一工業製薬,0,1.038438218,65081,62672,59140,61456,1.059722692,0.962314501,86469,46086,40383,4626,2492,5520,-2700,-2336,0.073812867,0.028819577,0.061709135,0.724791544,0.532977136,0.08807761,-0.04308144,-0.037273424,2820
石原ケミカル,0,1.068764446,20345,19036,16967,16785,1.121942594,1.010843015,25884,4389,21494,2355,2049,1786,-604,-862,0.123712965,0.079160872,0.095328929,0.735435018,0.16956421,0.093822232,-0.031729355,-0.045282622,1182
三洋化成工業,0,1.07658467,174973,162526,144757,155503,1.122750541,0.930895224,200194,53161,147032,11868,6699,11328,-11704,-5979,0.073022163,0.033462541,0.04556151,0.811842513,0.265547419,0.069699617,-0.072013093,-0.03678796,-376
ＪＭＤＣ,1,1.274823508,27809,21814,16771,12158,1.300697633,1.379420957,62053,30887,31165,4783,3247,3808,-8101,-2414,0.219262859,0.052326237,0.10418739,0.351538201,0.497751922,0.174566792,-0.371367012,-0.110662877,-4293
武田薬品工業,1,1.128459297,4027478,3569006,3197812,3291188,1.116077493,0.971628482,13178018,7494495,5683523,460844,230059,1123105,-198125,-1070265,0.129123907,0.017457785,0.040478239,0.270830257,0.56871185,0.314682856,-0.055512655,-0.299877613,924980
アステラス製薬,1,1.171626562,1518619,1296163,1249528,1300843,1.037322093,0.960552503,2332395,872087,1460308,155686,124086,257444,-62413,-216298,0.12011298,0.053201109,0.084972485,0.555721908,0.373901933,0.198620081,-0.048152123,-0.166875617,195031
住友ファーマ,0,0.991980858,555544,560035,515952,482732,1.085440118,1.068816652,1308007,634438,673569,60234,56413,31239,-18278,-21426,0.107553992,0.043128974,0.08375237,0.428159024,0.485041747,0.055780442,-0.032637246,-0.038258323,12961
塩野義製薬,1,1.273159117,426684,335138,297177,333371,1.127738688,0.891430268,1150601,157316,993285,110312,114185,102068,-96204,-36615,0.32915396,0.099239441,0.114956936,0.291272126,0.136725068,0.304555138,-0.287057869,-0.109253502,5864
日本新薬,0,1.048667481,144175,137484,121859,116637,1.128221961,1.044771385,219943,39057,180886,32948,24986,21316,-10037,-8407,0.239649705,0.113602161,0.138131199,0.625089228,0.177577827,0.155043496,-0.073004859,-0.061148934,11279
科研製薬,0,0.959886367,72984,76034,74979,89232,1.014070606,0.840270307,165181,26855,138325,17064,9549,13336,-7888,-8129,0.224425915,0.057809312,0.069033074,0.460307178,0.162579231,0.175395218,-0.103743062,-0.106912697,5448
エーザイ,0,0.984364462,744402,756226,645942,695621,1.170733595,0.928583237,1239315,467782,771534,53750,47954,117590,-28848,-48967,0.071076636,0.038693956,0.062154098,0.610196762,0.37745206,0.155495844,-0.038147326,-0.064751807,88742
理研ビタミン,1,1.120142369,88750,79231,77722,82974,1.019415352,0.936703064,102660,36121,66539,5840,21582,6823,-3661,-7565,0.073708523,0.210227937,0.324351132,0.771780635,0.35185077,0.086115283,-0.046206662,-0.095480304,3162
ロート製薬,1,1.195435922,238664,199646,181287,188327,1.101270361,0.962618212,274876,90882,183994,29015,21127,27250,-16406,3470,0.145332238,0.076860111,0.114824396,0.726312956,0.330629084,0.13649159,-0.082175451,0.017380764,10844
小野薬品工業,1,1.237507645,447187,361361,309284,292420,1.168379224,1.057670474,739203,77529,661674,103195,80519,61829,6038,-60237,0.285573153,0.108926777,0.121689835,0.488852183,0.10488188,0.171100368,0.016709053,-0.166694801,67867
持田製薬,0,0.937211265,103261,110179,102995,101799,1.069750959,1.011748642,163139,34493,128646,14392,10569,7459,-2007,-5956,0.130623803,0.064785244,0.082155683,0.675368857,0.211433195,0.067698926,-0.018215812,-0.054057488,5452
参天製薬,0,1.047998738,279037,266257,249605,241555,1.066713407,1.033325744,459976,123133,336844,35886,27218,46043,-35169,5557,0.134779555,0.059172652,0.080802983,0.578849766,0.267694401,0.172926909,-0.132086668,0.020870813,10874
